#wave(A)              S/N                   signal                    noise                     
7500.0                0.4619763810524238    1.935076666311111e-19     4.1886917722997704e-19    
7519.609591143901     0.5177072123443551    1.9249972641702157e-19    3.718312625882051e-19     
7539.381046597082     0.5763957125679078    1.9149141836915131e-19    3.322221421738817e-19     
7559.317556547916     0.6362111842983321    1.9048269336540532e-19    2.9940167363685357e-19    
7579.422416439559     0.6971901017407834    1.8947350071294134e-19    2.7176734184816058e-19    
7599.699031887572     0.7593706170384019    1.884637880731489e-19     2.4818419865673857e-19    
7620.150923896631     0.7902578801138436    1.8745350138201903e-19    2.372054820320358e-19     
7640.781734398814     0.8212883054059533    1.8644258476555704e-19    2.2701234577229324e-19    
7661.595232138038     0.8529668821066256    1.8543098044985637e-19    2.173952873667098e-19     
7682.595318927432     0.885316381021443     1.8441862866541806e-19    2.0830816261712355e-19    
7703.786036308902     0.9161083834705955    1.8340546754526235e-19    2.002006212959726e-19     
7725.167878905194     0.9369631197748848    1.8239160743507066e-19    1.9466252575543437e-19    
7746.727622314353     0.9578570050890998    1.8137780019225278e-19    1.8935790961343028e-19    
7768.468749838933     0.9791581701862521    1.8036399940437554e-19    1.8420312968441792e-19    
7790.394858825908     1.0008799234443333    1.793501572193317e-19     1.7919248155376427e-19    
7812.509665953025     1.0224262302444458    1.7833622427682995e-19    1.7442453939605266e-19    
7834.817012834081     1.043934328499826     1.7732214963570585e-19    1.6985948712935291e-19    
7857.32087196694      1.0658845118347169    1.763078806967376e-19     1.6540992831695924e-19    
7880.025353050247     1.0882920275508674    1.752933631206257e-19     1.610719904979111e-19     
7902.934709697119     1.109916429985094     1.7427854074076147e-19    1.570195160937495e-19     
7926.051578641839     1.123274505089258     1.732634327644399e-19     1.5424852249332587e-19    
7949.368113203848     1.1366121040798824    1.7224851485405358e-19    1.5154555739444049e-19    
7972.888355179867     1.150219796861156     1.712337380740524e-19     1.4887044940569923e-19    
7996.616483182999     1.1641067415172832    1.7021905193276935e-19    1.4622288993095926e-19    
8020.556819202148     1.171171146551669     1.6920440430571999e-19    1.4447453286730638e-19    
8044.713835570909     1.1771968296142314    1.6818974135405778e-19    1.4287308385733057e-19    
8069.092162377591     1.183351870070002     1.6717500743780876e-19    1.4127244116149442e-19    
8093.696595350947     1.189640914244338     1.6616014502347298e-19    1.3967252053449944e-19    
8118.532104259466     1.1957423796623665    1.651450945855414e-19     1.3811093208235395e-19    
8143.592392914011     1.2015928535419347    1.6413025599687991e-19    1.3659390159742814e-19    
8168.878242868008     1.20747284816332      1.6311573485838735e-19    1.3508853230654566e-19    
8194.394396193695     1.21347705184173      1.621014790552321e-19     1.3358429713129382e-19    
8220.145761702037     1.2196020030218309    1.6108743476465562e-19    1.3208196966348552e-19    
8246.137423250186     1.2258577642536443    1.6007354636837462e-19    1.3058084798755946e-19    
8272.374648588113     1.2322513350131377    1.5905975635923106e-19    1.2908061191715832e-19    
8298.862898787822     1.2387877934786367    1.580460052416225e-19     1.2758117740070228e-19    
8325.607838302658     1.2449879189410293    1.570322314252019e-19     1.261315303033394e-19     
8352.599448508314     1.250940833847747     1.560189650001029e-19     1.2472129838483798e-19    
8379.842291307801     1.2570052722018392    1.5500617956321567e-19    1.2331386589309874e-19    
8407.341804590942     1.2638739146004119    1.5399382075871245e-19    1.218427083427854e-19     
8435.103623101759     1.2727690009720483    1.5298183241619688e-19    1.2019607037833298e-19    
8463.133588539675     1.2818629931749568    1.5197015645468468e-19    1.1855413352583058e-19    
8491.437760336206     1.2911633341161304    1.509587327800847e-19     1.1691683677140967e-19    
8520.022427163149     1.275895046154877     1.499474991756379e-19     1.1752338064759305e-19    
8548.881954500706     1.28410542891677      1.489368150466309e-19     1.1598488075256344e-19    
8578.017147191616     1.2923785502236986    1.4792680690125305e-19    1.144608960552992e-19     
8607.434095834784     1.300858673643185     1.4691741914421537e-19    1.129388012094799e-19     
8637.139116045102     1.3096050948419178    1.4590859431211843e-19    1.1141419263471255e-19    
8667.138760239843     1.318548397004785     1.4490027297231162e-19    1.0989378418074537e-19    
8697.439830229847     1.3276960877305584    1.438923936147593e-19     1.0837750818465974e-19    
8728.049390683647     1.3368256260679101    1.4288489253631706e-19    1.0688371747973851e-19    
8758.95746984527      1.3457693521737923    1.4187826461219219e-19    1.0542539431665558e-19    
8790.16914488436      1.354875672601979     1.408725054731332e-19     1.0397448881977029e-19    
8821.691279090508     1.3641072926078577    1.3986755796677638e-19    1.0253413256033691e-19    
8853.53099516054      1.3735123063422499    1.3886336300413272e-19    1.0110092378708615e-19    
8885.695689103286     1.3831338148085182    1.3785985945203735e-19    9.967210545793991e-20     
8918.19304511627      1.3922448986558975    1.3685698401798334e-19    9.829950474238258e-20     
8951.019905235464     1.4007462009964535    1.3585500947371904e-19    9.698759802245075e-20     
8984.174963175934     1.4092537635490319    1.3485414529516135e-19    9.569188231617548e-20     
9017.665720409615     1.41746118135126      1.3385433427950957e-19    9.443245151299789e-20     
9051.499964941546     1.4254102909572048    1.3285551730531733e-19    9.320510603027915e-20     
9085.685786832804     1.4335485307328104    1.3185763322442629e-19    9.197988794772261e-20     
9120.23159482019      1.4419876062618189    1.3086061874616172e-19    9.075016884881715e-20     
9155.133798155495     1.450449907221043     1.298647582817647e-19     8.95341215406578e-20      
9190.391838770407     1.458926592895106     1.2887024270791255e-19    8.833223229702145e-20     
9226.013958294412     1.4670574662674272    1.2787701445642622e-19    8.716564783367237e-20     
9262.008717228442     1.4751778958514112    1.2688501404586718e-19    8.601336449163268e-20     
9298.385012445084     1.4834947540564645    1.2589417997196308e-19    8.486324581042053e-20     
9335.152095941574     1.4921508165731772    1.2490444859007997e-19    8.370765689552165e-20     
9372.298200604688     1.5005954046678371    1.2391631972013213e-19    8.257810155533664e-20     
9409.831128251244     1.509090854426161     1.2292976287153963e-19    8.145948437165784e-20     
9447.759975830682     1.517426401138522     1.219447198396513e-19     8.036285631260694e-20     
9486.094197534636     1.5259635629341433    1.2096113050118376e-19    7.926868861049216e-20     
9524.84362470016      1.5341578917578969    1.1997893270223432e-19    7.820507481453416e-20     
9564.003376897148     1.5419456076685765    1.1899843815073922e-19    7.717421260446728e-20     
9603.574544878275     1.549811360017846     1.180198013471088e-19     7.615107515133314e-20     
9643.566808625092     1.558460179298323     1.1704296521351593e-19    7.510167200179157e-20     
9683.990228134637     1.5673179026997497    1.1606787085668915e-19    7.405509160378947e-20     
9724.85526458279      1.576124906769548     1.1509445746132762e-19    7.302369055078709e-20     
9766.158037845566     1.5846920109612892    1.1412300725360404e-19    7.201589107802465e-20     
9807.899250697477     1.593071516801042     1.1315368734154828e-19    7.102863000699798e-20     
9850.089243029875     1.6007428055000934    1.1218644142858628e-19    7.008398915998111e-20     
9892.738761286664     1.6086039308178128    1.112212114924559e-19     6.914145201417674e-20     
9935.858981139383     1.6160864902855898    1.1025793768302377e-19    6.822527033410157e-20     
9979.439964076539     1.623242755556027     1.0929703064023074e-19    6.733252328780118e-20     
10023.488082060709    1.6295405718176987    1.0833853192153252e-19    6.648409606683463e-20     
10068.014366113248    1.6351522236525071    1.0738238603661848e-19    6.567118613382307e-20     
10113.030281172947    1.640823275899066     1.0642853586897509e-19    6.486288769316675e-20     
10158.540077249025    1.646284212124246     1.0547708191869213e-19    6.406978888693353e-20     
10204.536344306029    1.651548318352181     1.0452836306633354e-19    6.32911322695214e-20      
10251.030411846816    1.6569490863532816    1.0358232597432593e-19    6.251388580822146e-20     
10298.034048285093    1.6624933345033517    1.0263891586623556e-19    6.173794128136917e-20     
10345.55948505505     1.667456293463488     1.0169807644095058e-19    6.098995028512119e-20     
10393.59265524816     1.6720657163625425    1.0076026915349185e-19    6.02609503726256e-20      
10442.144066616323    1.677726546730975     9.982546490446974e-20     5.950043831575423e-20     
10491.225794820039    1.683680396104873     9.889361092069731e-20     5.873656968952286e-20     
10540.850383109782    1.6886667409704308    9.796465309118402e-20     5.801301743817516e-20     
10591.007240699604    1.693152332416998     9.703896884999876e-20     5.731260382902129e-20     
10641.703357669303    1.6976767384479832    9.61166013068593e-20      5.661655080149661e-20     
10692.951108696821    1.7023255708204836    9.519749939734389e-20     5.592202868189354e-20     
10744.76333959704     1.7078145591538745    9.428161089704663e-20     5.520600020165997e-20     
10797.127860152636    1.713150081929229     9.336932394122532e-20     5.450154363363154e-20     
10850.052960124292    1.7229886187092807    9.246065950640398e-20     5.366295430068934e-20     
10903.55129126418     1.7328850709102985    9.155556797135968e-20     5.2834183586834644e-20    
10957.633991661842    1.7369997700140498    9.065403159586391e-20     5.2190007828919085e-20    
11012.285856708757    1.7404941922347947    8.97564671725503e-20      5.1569529834111646e-20    
11067.51931437949     1.7430838979086472    8.886282708689478e-20     5.0980235198955397e-20    
11123.34724095316     1.7462474513319308    8.797306295124645e-20     5.037834866080748e-20     
11179.770047925187    1.749997545931496     8.708732709170607e-20     4.97642566952006e-20      
11236.782383150816    1.7529330584616558    8.620585478671356e-20     4.917806437079027e-20     
11294.39684678889     1.7556011807033245    8.532859924298206e-20     4.860363514269108e-20     
11352.62648288278     1.7587484719130377    8.445551304790075e-20     4.80202339314821e-20      
11411.456099912519    1.7615837720306837    8.358696859595039e-20     4.7449897031916147e-20    
11470.895019468624    1.7643441401647448    8.272296506618887e-20     4.688595789394276e-20     
11530.955957077815    1.7664340925376683    8.18634562038708e-20      4.6343906375960705e-20    
11591.63535174968     1.7676402395049688    8.100862887598084e-20     4.582868564853868e-20     
11652.929814638772    1.769648630819773     8.015865869447695e-20     4.529636974168381e-20     
11714.851665454737    1.7730243147353075    7.931349999688917e-20     4.47334530822437e-20      
11777.405884512655    1.7800430805585075    7.847321000613341e-20     4.4085006067106875e-20    
11840.58005867293     1.7835179115724333    7.763807268124144e-20     4.3530862335322475e-20    
11904.386080047012    1.785176310187408     7.680804235792389e-20     4.30254658431248e-20      
11968.833973568106    1.7865203207935505    7.598310164237632e-20     4.2531339138994824e-20    
12033.905195791433    1.7875078988586168    7.516359285276214e-20     4.204937662136016e-20     
12099.611155005652    1.7885388345163868    7.434946976915382e-20     4.156994991347649e-20     
12165.96359852545     1.789496234359096     7.354068613675674e-20     4.1095747912034675e-20    
12232.940739160545    1.789472202665297     7.273759864650683e-20     4.064751524956305e-20     
12300.553227449875    1.7888724001078       7.1940162362858e-20       4.021536827250663e-20     
12368.811942134682    1.7888722001673811    7.114833314900461e-20     3.9772731189152254e-20    
12437.694723162522    1.789225135263936     7.036244411955316e-20     3.932565149727438e-20     
12507.211814193375    1.7902012861027734    6.958244631775678e-20     3.8868504261459975e-20    
12577.370260752634    1.7908664022925047    6.880832890742471e-20     3.8421810146944815e-20    
12648.150086802545    1.792345501465182     6.804037241863469e-20     3.7961638737070496e-20    
12719.56087571732     1.79681467204964      6.727852577704778e-20     3.744321928332356e-20     
12791.603178076648    1.8076598237725297    6.652283456927604e-20     3.68005272310832e-20      
12864.261588259114    1.809622848566209     6.577350379360248e-20     3.634652593258082e-20     
12937.544969925346    1.809630760483336     6.503047978071682e-20     3.593577275584538e-20     
13011.44497269442     1.8085959585900189    6.429388131180368e-20     3.554905727088276e-20     
13085.953272792913    1.8071457670236823    6.356381756689765e-20     3.5173597352683645e-20    
13161.077970433142    1.8055209269069588    6.284023186971317e-20     3.480448824116644e-20     
13236.800083881555    1.8035232659893738    6.212332374124772e-20     3.4445534977431083e-20    
13313.120650094967    1.8013674599914755    6.141309251893635e-20     3.409248467229833e-20     
13390.041136500216    1.7988199370710294    6.070953136319891e-20     3.3749643370114426e-20    
13467.540088335303    1.7972939747375465    6.00128357867221e-20      3.339066208992638e-20     
13545.62388642714     1.7955746497738576    5.93229415636507e-20      3.303841562428055e-20     
13624.27949337283     1.7942332983391962    5.863995309753563e-20     3.2682457265626925e-20    
13703.498742284924    1.7945969101490573    5.796392346800112e-20     3.229913254625335e-20     
13783.285768078349    1.7923844923277694    5.72947966021483e-20      3.1965684175128944e-20    
13863.614409959186    1.7898916202361514    5.663276440817272e-20     3.164033160884948e-20     
13944.489396423205    1.786341481130178     5.597775411391622e-20     3.133653599002826e-20     
14025.897304767022    1.7820387476135335    5.532983733383748e-20     3.1048616315405015e-20    
14107.827362516133    1.778298818405712     5.468905635112065e-20     3.0753580773421825e-20    
14190.280437162048    1.7747865079264953    5.4055357784578315e-20    3.0457386025394034e-20    
14273.230845762959    1.7737884117290281    5.3428886498500973e-20    3.012134150003851e-20     
14356.681774961504    1.7721080119458794    5.280956069553928e-20     2.9800418676258484e-20    
14440.614677132295    1.7686098825807437    5.2197456787086447e-20    2.951326762401682e-20     
14525.021877647905    1.7642317408862245    5.159256411040136e-20     2.924364351617715e-20     
14609.896535513117    1.760624218309226     5.0994862157687164e-20    2.896408082279981e-20     
14695.218564913346    1.7562668511946598    5.040441786264772e-20     2.869974903207977e-20     
14780.989811037356    1.751929596181314     4.982114078969743e-20     2.8437866965825975e-20    
14867.182079539418    1.747186289258232     4.924514066420479e-20     2.8185397840496913e-20    
14953.794866454562    1.7430907174371055    4.8676334329066066e-20    2.792530178844373e-20     
15040.810665616164    1.7391604032486403    4.811474784807423e-20     2.7665503284342815e-20    
15128.218875498123    1.73506837085383      4.7560356834571755e-20    2.7411229225028884e-20    
15216.010549625578    1.7306768371645196    4.701312299267181e-20     2.716458785552158e-20     
15304.16581376098     1.7248922194664829    4.6473071629587095e-20    2.694259450249096e-20     
15392.683573263466    1.720177438402006     4.594010881255503e-20     2.670661048503928e-20     
15481.535829281525    1.7137935517259526    4.541429937056609e-20     2.6499282439725357e-20    
15570.72250729759     1.7033698875094045    4.4895537238058135e-20    2.635689263222945e-20     
15660.220354957517    1.6933178569273633    4.4383849367473525e-20    2.6211174225736295e-20    
15750.022972217337    1.6839417760251558    4.3879161485211853e-20    2.6057410125417755e-20    
15840.114402664258    1.6745209377338381    4.3381451115728734e-20    2.5906783330184988e-20    
15930.481698742418    1.6652859593684062    4.289067557490495e-20     2.5755742029538348e-20    
16021.114912148578    1.6564986615420634    4.2406773639795e-20       2.5600246244882443e-20    
16111.994976632002    1.64838358895783      4.19297301403619e-20      2.543687672046738e-20     
16203.11754423594     1.6398964994617395    4.1459450125559526e-20    2.528174804883582e-20     
16294.458333677134    1.6332742452995237    4.099593980470123e-20     2.5100463025536196e-20    
16386.016451932068    1.6243387073046827    4.0539083850647637e-20    2.4957284874356925e-20    
16477.766195900716    1.6164373581261715    4.008888988678833e-20     2.480076922576246e-20     
16569.70502423336     1.6054589172862508    3.9645248888544397e-20    2.4694028892098837e-20    
16661.812420472746    1.5985427797155132    3.920813828152228e-20     2.4527425089305404e-20    
16754.081197021493    1.5930087131809731    3.8777470055775794e-20    2.4342283714408344e-20    
16846.495875490178    1.5873048790150457    3.835319450659016e-20     2.4162462431533052e-20    
16939.045283622945    1.5815075231903701    3.7935240771953964e-20    2.398675960480246e-20     
17031.718087025838    1.57468529344677      3.7523538245593026e-20    2.3829230133634604e-20    
17124.499142911638    1.568191245473091     3.7118032413801784e-20    2.366932765436019e-20     
17217.38136680997     1.562144341953814     3.6718632997126735e-20    2.3505275415971997e-20    
17310.346514967296    1.554475903162371     3.6325297494935623e-20    2.3368195943749734e-20    
17403.391370801048    1.546483369316309     3.5937919315854696e-20    2.3238477715892048e-20    
17496.495020141025    1.5258578697251186    3.555646587944385e-20     2.3302606740068984e-20    
17589.656947452404    1.4736851811101495    3.5180820497943665e-20    2.387268390080534e-20     
17682.854698813615    1.396209081352187     3.481095567633894e-20     2.4932480486823337e-20    
17776.087083297498    1.284298937912407     3.444675883883156e-20     2.6821449291878905e-20    
17869.3355336         1.0928478849210845    3.408818636428332e-20     3.119206875414766e-20     
17962.595799922212    0.8409876154611656    3.373513932863302e-20     4.011371714449558e-20     
